elpd_diff,se_diff,elpd,se_elpd,p,se_p,ic,se_ic,variable,variable.label,criterion,model,best.model,model.label
-2.457449571,3.612769371,-37.96156579,11.51905812,8.060015276,2.799735691,75.92313158,23.03811623,g53um,0.053-0.250 mm,WAIC,simple,No,Fixed effects only
-2.657494328,3.220472878,-38.16161055,11.28822711,9.630558099,2.933929227,76.3232211,22.57645423,g53um,0.053-0.250 mm,WAIC,strip.random,No,Strip random effects
0,0,-36.07949232,10.11459695,16.19466192,3.900920437,72.15898465,20.2291939,g53um,0.053-0.250 mm,LOO,strip.plot.random,Yes,Strip and plot random effects
-2.002613278,3.614924067,-38.0821056,11.59508207,8.180555085,2.881879703,76.1642112,23.19016414,g53um,0.053-0.250 mm,LOO,simple,No,Fixed effects only
-2.2790887,3.234094529,-38.35858102,11.385204,9.827528574,3.037589981,76.71716205,22.77040801,g53um,0.053-0.250 mm,LOO,strip.random,No,Strip random effects
0,0,-30.91923052,6.453576412,10.20595241,1.533964236,61.83846104,12.90715282,l53um,<0.053 mm,WAIC,strip.random,Yes,Strip random effects
-0.234243527,1.660923499,-31.15347405,6.129709089,6.499667819,0.870196763,62.3069481,12.25941818,l53um,<0.053 mm,WAIC,simple,No,Fixed effects only
-0.487794584,0.736663031,-31.40702511,6.542474244,12.13472607,1.736759625,62.81405021,13.08494849,l53um,<0.053 mm,WAIC,strip.plot.random,No,Strip and plot random effects
0,0,-31.19024176,6.522640524,10.47696365,1.623537019,62.38048352,13.04528105,l53um,<0.053 mm,LOO,strip.random,Yes,Strip random effects
-0.005591517,1.742497065,-31.19583328,6.137180188,6.542027047,0.877797576,62.39166655,12.27436038,l53um,<0.053 mm,LOO,simple,No,Fixed effects only
-0.563104245,0.749028591,-31.753346,6.61493042,12.48104697,1.818007689,63.50669201,13.22986084,l53um,<0.053 mm,LOO,strip.plot.random,No,Strip and plot random effects
0,0,42.36024641,6.183071986,11.88550037,1.561305549,-84.72049283,12.36614397,mwd,Mean-weight diameter (mm),WAIC,strip.plot.random,Yes,Strip and plot random effects
