"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","X5","X95","X25","X75"
"simple","Fixed effects only","clay","Clay (%)",17.15555556,"C","Seedling",16.50364799,15.26820573,17.81607967,16.01140181,17.04743425
"simple","Fixed effects only","clay","Clay (%)",17.15555556,"D","Acorn",17.03022292,15.78896287,18.37590366,16.46525046,17.51525244
"simple","Fixed effects only","clay","Clay (%)",17.15555556,"E","Seedbank",17.16141422,15.91485861,18.52177338,16.68522005,17.74268999
"simple","Fixed effects only","clay","Clay (%)",17.15555556,"R","Reference",15.97597285,14.75241737,17.27114055,15.48695648,16.51267675
"strip.random","Strip random effects","clay","Clay (%)",17.15555556,"A","Balled-and-burlapped",17.41686232,16.08728005,18.93650594,16.88013658,17.93008986
"strip.random","Strip random effects","clay","Clay (%)",17.15555556,"B","Bareroot",17.62586146,15.75139285,19.56918829,16.95475676,18.40693886
"strip.random","Strip random effects","clay","Clay (%)",17.15555556,"C","Seedling",16.43720197,14.70510784,18.34798772,15.74989903,17.11912449
"strip.random","Strip random effects","clay","Clay (%)",17.15555556,"D","Acorn",17.01528505,15.12778145,19.07296277,16.30366722,17.76507884
"strip.random","Strip random effects","clay","Clay (%)",17.15555556,"E","Seedbank",17.0935172,15.35492291,19.07888192,16.40452594,17.81792102
"strip.random","Strip random effects","clay","Clay (%)",17.15555556,"R","Reference",15.93691038,13.99859415,18.22045125,15.22699626,16.74082343
"strip.plot.random","Strip and plot random effects","clay","Clay (%)",17.15555556,"A","Balled-and-burlapped",17.37335041,15.59067086,19.3152969,16.71674558,18.11520829
"strip.plot.random","Strip and plot random effects","clay","Clay (%)",17.15555556,"B","Bareroot",17.65268433,15.23747487,20.4400768,16.69397007,18.63444833
"strip.plot.random","Strip and plot random effects","clay","Clay (%)",17.15555556,"C","Seedling",16.45887548,14.2318579,19.09233868,15.61036813,17.43723778
"strip.plot.random","Strip and plot random effects","clay","Clay (%)",17.15555556,"D","Acorn",17.02501315,14.62429606,19.81261788,16.06152974,17.99783417
