"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","5","95","25","75"
"strip.random","Strip random effects","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"C","Seedling",0.137735564947763,0.0458367256738632,0.404365753028922,0.0969565040925747,0.229863553581079
"strip.random","Strip random effects","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"D","Acorn",0.226869317949428,0.0766582329054657,0.647782275011928,0.158704163353262,0.36233430395584
"strip.random","Strip random effects","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"E","Seedbank",0.120774695391829,0.0395630622179318,0.369689878332125,0.0830511327754111,0.201649356602151
"strip.random","Strip random effects","mixed.biomass.c.stock","Mixed biomass",0.273706241975309,"R","Reference",0.422266673534571,0.130679188640939,1.29749278042133,0.30266692850879,0.727760796390827
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"A","Balled-and-burlapped",0.0890533548323326,0.0271663867642049,0.290832768169823,0.0648127666304258,0.172192897898873
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"B","Bareroot",0.10181959102469,0.0313877780151006,0.328211791592755,0.0752695039645642,0.198584796459516
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"C","Seedling",0.0890315705761094,0.027744284197742,0.295170656707952,0.0656085020690463,0.174427042627792
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"D","Acorn",0.0945602103935631,0.0294616157756087,0.310746981511812,0.0710091929307359,0.187953952800752
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"E","Seedbank",0.768373993889365,0.519099197455838,1.16980527757226,0.732416705177125,0.981374131568972
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"R","Reference",0.0889773539760333,0.0282369020771266,0.298806886809098,0.0645352950102433,0.170455310495023
"strip.random","Strip random effects","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"A","Balled-and-burlapped",0.0811110692116762,0.0156449069030944,0.403132372059344,0.0410173651192081,0.154911785992287
"strip.random","Strip random effects","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"B","Bareroot",0.110735709984443,0.0248871354975539,0.507215591079403,0.0576820878395131,0.198526414931667
"strip.random","Strip random effects","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"C","Seedling",0.0621080580745637,0.0123160895641238,0.32006228418111,0.0300390591761199,0.114586802931838
"strip.random","Strip random effects","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"D","Acorn",0.126460244934693,0.0268978690516644,0.590465972682281,0.0649011290755919,0.231635401859311
"strip.random","Strip random effects","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"E","Seedbank",0.223877870163886,0.0512046551070155,1.01623377177757,0.120672002573232,0.410221423849818
"strip.random","Strip random effects","p.arundinacea.c.stock","P. arundinacea biomass",0.168335990123457,"R","Reference",0.110938001784654,0.0212818640807916,0.552153821275082,0.0568535711803068,0.215577844260165
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"A","Balled-and-burlapped",0.134937793233458,0.0464744845694516,0.386119300417038,0.115371418012431,0.267051353808552
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"B","Bareroot",0.137087954880432,0.0482085324580322,0.394728057612546,0.113110385659042,0.26092607390574
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"C","Seedling",0.0876927930270671,0.0290115047413612,0.266573845992451,0.0668357968027819,0.166301872959117
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"D","Acorn",0.134342239059493,0.0470126492109714,0.387132866929666,0.111826213083726,0.259750074771556
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"E","Seedbank",0.525215320358584,0.329228697162775,0.848595972243049,0.494987693163545,0.697499331197408
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"R","Reference",0.0863575737232902,0.0284569459105826,0.263657734128267,0.064387755315365,0.160084000658738
"strip.random","Strip random effects","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"A","Balled-and-burlapped",0.13003026201897,0.0409309348804794,0.409445206188994,0.0927146106443882,0.231679310986228
"strip.random","Strip random effects","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"B","Bareroot",0.137223445702172,0.0460033420270064,0.400986481041516,0.104145470614519,0.245605768204943
"strip.random","Strip random effects","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"C","Seedling",0.0783701661416039,0.0238504046606002,0.253705277145536,0.0537527285926711,0.140495187719402
"strip.random","Strip random effects","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"D","Acorn",0.128285970661274,0.0397874907544219,0.401408025507172,0.0911778044897849,0.229551928574551
"strip.random","Strip random effects","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"E","Seedbank",0.419792091832456,0.17553887300217,0.922155370943099,0.378289040673779,0.689247147277525
"strip.random","Strip random effects","h.japonicus.c.stock","H. japonicus biomass",0.193483548148148,"R","Reference",0.0938789241746122,0.0254343578314655,0.345989811136396,0.0575746876185317,0.162711832420674
