"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"total.live.carbon","Total live vegetation","strip.random","Strip random effects","A","Balled-and-burlapped",1.00061540792277
"total.live.carbon","Total live vegetation","strip.random","Strip random effects","B","Bareroot",1.00018660301468
"total.live.carbon","Total live vegetation","strip.random","Strip random effects","C","Seedling",1.00011741567944
"total.live.carbon","Total live vegetation","strip.random","Strip random effects","D","Acorn",1.00035480997244
"total.live.carbon","Total live vegetation","strip.random","Strip random effects","E","Seedbank",1.00011665124374
"total.live.carbon","Total live vegetation","strip.random","Strip random effects","R","Reference",1.00040899440705
"total.dead.carbon","Total dead vegetation","simple","Fixed effects only","A","Balled-and-burlapped",1.00031607388565
"total.dead.carbon","Total dead vegetation","simple","Fixed effects only","B","Bareroot",1.00034563346809
"total.dead.carbon","Total dead vegetation","simple","Fixed effects only","C","Seedling",1.00040040019636
"total.dead.carbon","Total dead vegetation","simple","Fixed effects only","D","Acorn",1.00022909389054
"total.dead.carbon","Total dead vegetation","simple","Fixed effects only","E","Seedbank",1.00033860218943
"total.dead.carbon","Total dead vegetation","simple","Fixed effects only","R","Reference",1.00030753890279
"total.dead.carbon","Total dead vegetation","strip.random","Strip random effects","A","Balled-and-burlapped",1.00014861984856
"total.dead.carbon","Total dead vegetation","strip.random","Strip random effects","B","Bareroot",1.00017231344283
"total.dead.carbon","Total dead vegetation","strip.random","Strip random effects","C","Seedling",1.00022018952872
"total.dead.carbon","Total dead vegetation","strip.random","Strip random effects","D","Acorn",1.00019211680613
"total.dead.carbon","Total dead vegetation","strip.random","Strip random effects","E","Seedbank",1.00020571989118
"total.dead.carbon","Total dead vegetation","strip.random","Strip random effects","R","Reference",1.00013619392217
"total.vegetation.carbon","Total vegetation","simple","Fixed effects only","A","Balled-and-burlapped",1.00056828741704
"total.vegetation.carbon","Total vegetation","simple","Fixed effects only","B","Bareroot",1.00025633497
"total.vegetation.carbon","Total vegetation","simple","Fixed effects only","C","Seedling",1.0006198911408
"total.vegetation.carbon","Total vegetation","simple","Fixed effects only","D","Acorn",1.00037343657704
"total.vegetation.carbon","Total vegetation","simple","Fixed effects only","E","Seedbank",1.00048517297825
"total.vegetation.carbon","Total vegetation","simple","Fixed effects only","R","Reference",1.00023444048418
"total.vegetation.carbon","Total vegetation","strip.random","Strip random effects","A","Balled-and-burlapped",1.00014299058321
"total.vegetation.carbon","Total vegetation","strip.random","Strip random effects","B","Bareroot",0.999982997038026
"total.vegetation.carbon","Total vegetation","strip.random","Strip random effects","C","Seedling",1.00011436828883
"total.vegetation.carbon","Total vegetation","strip.random","Strip random effects","D","Acorn",1.00030725618458
"total.vegetation.carbon","Total vegetation","strip.random","Strip random effects","E","Seedbank",1.00014851014858
"total.vegetation.carbon","Total vegetation","strip.random","Strip random effects","R","Reference",1.00015308568408
